bank,district,state,blood_group,short_units
New Vision Blood Centre,Prakasam,Andhra Pradesh,A-,5
Indian Red Cross Society Blood Bank Kurnool,Kurnool,Andhra Pradesh,A-,4
New Life Blood Centre Kurnool,Kurnool,Andhra Pradesh,A-,4
First Blood Centre,Visakhapatnam,Andhra Pradesh,A-,5
Sri Abhaya Blood Center,Kakinada,Andhra Pradesh,A-,6
Palnadu Blood Centre,Palnadu,Andhra Pradesh,A-,6
"Government General Hospital Blood Centre, Guntur",Guntur,Andhra Pradesh,A-,6
Government General Hospital Blood Centre Eluru,Eluru,Andhra Pradesh,A-,6
Indian Red Cross Society Blood Centre Nellore,Sri Potti Sriramulu Nellore,Andhra Pradesh,A-,6
The King George Hospital Blood Centre Visakhapatnam,Visakhapatnam,Andhra Pradesh,A-,5
Government General Hospital Blood Centre Srikakulam,Srikakulam,Andhra Pradesh,A-,6
Government General Hospital Blood Centre Machilipatnam,Krishna,Andhra Pradesh,A-,6
Rotary Blood Centre (Rotary Club Golden Jubilee Charitable Trust),Kakinada,Andhra Pradesh,A-,6
Vijayasri Blood Centre Srikakulam,Srikakulam,Andhra Pradesh,A-,6
Bsu Rdt Kalyandurgam Private,Ananthapuramu,Andhra Pradesh,A-,6
Kurnool Blood Centre,Kurnool,Andhra Pradesh,A-,5
Narayana Medical College And Hospital Blood Centre,Sri Potti Sriramulu Nellore,Andhra Pradesh,A-,5
Dr. Ysr-Jakkampudi Rammohan Rao Blood Centre,East Godavari,Andhra Pradesh,A-,6
Government General Hospital Blood bank Vijayawada,Ntr,Andhra Pradesh,A-,5
Ramesh Hospitals Blood Centre Guntur,Guntur,Andhra Pradesh,A-,6
"Government Maternity Hospital Blood Centre, Tirupati",Tirupati,Andhra Pradesh,A-,3
Sreenitha Voluntary Blood Centre Ananthapuram,Ananthapuramu,Andhra Pradesh,A-,4
Blood Centre Central Hospital Ttd Tirupati,Tirupati,Andhra Pradesh,A-,5
All India Institute Of Medical Sciences Blood Centre Mangalagiri,Guntur,Andhra Pradesh,A-,2
Government General Hospital Blood Centre Kadapa,Y.S.R.,Andhra Pradesh,A-,6
Moksha Blood Center Srikakulam,Srikakulam,Andhra Pradesh,A-,6
Gayatri Vidya Parishad Institute Of Health Care And  Medical  Technology,Visakhapatnam,Andhra Pradesh,A-,6
Sahasra Blood Centre,Dr. B. R. Ambedkar Konaseema,Andhra Pradesh,A-,6
Rural Development Trust Hospital Blood Bank,Sri Sathya Sai,Andhra Pradesh,A-,2
Pradha Blood Centre,Krishna,Andhra Pradesh,A-,6
Indian Red Cross Society Blood Bank Srikakulam,Srikakulam,Andhra Pradesh,A-,6
Needs Tenali Blood Bank,Guntur,Andhra Pradesh,A-,6
Navajeevan Blood Centre,Kakinada,Andhra Pradesh,A-,6
Rakshana Blood Bank,Tirupati,Andhra Pradesh,A-,6
Sri Yuvasena Blood Center,Kakinada,Andhra Pradesh,A-,6
Suraksha Voluntary Blood Centre (Shabari Seva Samiti),Y.S.R.,Andhra Pradesh,A-,6
Area Hospital Blood Centre Narsipatnam,Anakapalli,Andhra Pradesh,A-,6
Lakhimpur Medical College And Hospital Blood Centre,Lakhimpur,Assam,A-,5
TRANSFUSION MEDICINE AND BLOOD CENTRE AIIMS GHY,Kamrup,Assam,A-,4
"Blood Centre, Apollo Hospitals Guwahati",Kamrup,Assam,A-,6
Blood Centre Nalbari Medical College And Hospital Nalbari,Nalbari,Assam,A-,6
Blood Centre Dibrugarh Cancer Centre,Dibrugarh,Assam,A-,4
North East Blood Centre And Research Centre,Nagaon,Assam,A-,6
Tezpur Medical College And  Hospital,Sonitpur,Assam,A-,6
Sadar Hospital Sitamarhi,Sitamarhi,Bihar,A-,4
Ruban Memorial Hospital,Patna,Bihar,A-,6
"Ircs Blood Centre,Motihari",Purba Champaran,Bihar,A-,1
Sadar Hospital Bhabua Kaimur,Kaimur (Bhabua),Bihar,A-,6
"Lions Mahavir Cancer Sansthan Bloodcentre, Phulwarisharif, Patna",Patna,Bihar,A-,6
Krishna Devi Prasad Kejriwa Hospital Blood Bank,Muzaffarpur,Bihar,A-,6
"Blood Centre Kurji Holy Family Hospital, Patna",Patna,Bihar,A-,6
SKMCH Muzaffarpur,Muzaffarpur,Bihar,A-,4
Narayana Medical College And Hospital,Rohtas,Bihar,A-,6
"Mbb, Jaiprabha Hospital, Patna",Patna,Bihar,A-,6
Bihar State Blood Bank PMCH Patna,Patna,Bihar,A-,4
"Bharat Blood Centre, Patna",Patna,Bihar,A-,6
Aashirwad Blood Centre Bhatapara,Baloda Bazaar,Chhattisgarh,A-,6
Blood Centre District Hospital Dhamtari,Dhamtari,Chhattisgarh,A-,5
Shri Shankracharya Blood Centre,Durg,Chhattisgarh,A-,6
District Hospital Blood Centre Bemetara,Bemetra,Chhattisgarh,A-,6
District Hospital Mahasamund,Mahasamund,Chhattisgarh,A-,6
Sahaara Blood & Component Centre,Raipur,Chhattisgarh,A-,6
Balaji Charitable Blood Centre Bilaspur,Bilaspur,Chhattisgarh,A-,5
Balaji Blood Centre,Raipur,Chhattisgarh,A-,5
Apollo Hospitals Blood Centre,Bilaspur,Chhattisgarh,A-,5
Hanshwhini Blood Centre,Bilaspur,Chhattisgarh,A-,2
M/S. Ramkirshna Care Medical Sciences Pvt Ltd,Raipur,Chhattisgarh,A-,4
Shree Narayana Hospital Blood Centre (Health Tech Chhattisgarh (P) Ltd.),Raipur,Chhattisgarh,A-,7
Narayana Hrudayalaya Mmi Blood Centre,Raipur,Chhattisgarh,A-,6
Balco Medical Centre Blood Centre,Raipur,Chhattisgarh,A-,6
Life Care Blood Centre Raipur,Raipur,Chhattisgarh,A-,7
Balaji Blood Centre Korba,Korba,Chhattisgarh,A-,7
"Shivnath Blood Centre, Devendra Nagar",Raipur,Chhattisgarh,A-,7
Indian Red Cross Society Blood Centre Dadra And Nagar Haveli,Dadra & Nagar Haveli,Dadra And Nagar Haveli And Daman And Diu,A-,5
"Blood Centre, Max Super Specialty Hospital, (A Unit Of Devki Devi Foundation)",South,Delhi,A-,3
Blood Centre Organization,Central,Delhi,A-,7
Blood Centre Guru Tegh Bahadur Hospital,Shahdara,Delhi,A-,5
"Blood Centre, Primus Super Speciality Hospital",South,Delhi,A-,6
BRAHM SHAKTI BLOOD CENTRE North West,North West,Delhi,A-,6
"Blood Centre, Maharaja Agrasen Hospital",West,Delhi,A-,6
"Blood Centre, Deen Dayal Upadhay Hospital",West,Delhi,A-,4
"Blood Centre, Escorts Heart Institute and Research Centre Ltd.",New Delhi,Delhi,A-,4
Life Line Blood Centre A Unit Of Mata Roop Rani Maggo And Mahindru Hospital,New Delhi,Delhi,A-,6
"Blood Centre, Institute Of Liver And Biliary Sciences",South West,Delhi,A-,7
Cribs Blood Centre,South,Delhi,A-,7
"Blood Bank, Fortis Flt.Lt. Rajan Dhall Hospital (A Unit Of Flt. Lt. Ranjan Dhall Charitable Trust Re",South West,Delhi,A-,7
Divine Charitable Blood Centre,East,Delhi,A-,5
"Blood Centre, Mission Jan Jagriti Blood Centre",North West,Delhi,A-,7
"Blood Centre, Dharamshila Narayana Superspeciality Hospital",East,Delhi,A-,7
Central Polyclinic Blood Centre,East,Delhi,A-,6
Shree Aggarsain International Hospital Blood Centre,South West,Delhi,A-,6
"Blood Centre, Delhi Heart And Lungs Institute",New Delhi,Delhi,A-,7
"M/S Venkateshwar Hospital New Delhi, Dwarka Sector-18 A",New Delhi,Delhi,A-,7
"Blood Centre, Pushpawati Singhania Research Institute(For Liver, Renal And Digestive Disease)",South,Delhi,A-,4
Max Super Speciality Hospital Dwarka,North West,Delhi,A-,5
"Blood Centre, Max Super Specialty Hospital (A Unit Of Max Health Care Institute Ltd)",North West,Delhi,A-,7
Blood Centre Of Triton Hospital,South East,Delhi,A-,6
"Blood Centre, Dr. Baba Saheb Ambedkar Hospital",North West,Delhi,A-,6
"Blood Centre, St. Stephens Hospital",North,Delhi,A-,7
"Blood Centre, Kasturba Gandhi Hospital",Central,Delhi,A-,6
Blood Centre IRPGIMSR NRCH,New Delhi,Delhi,A-,6
Blood Centre Bhagwan Mahavir Hospital,North West,Delhi,A-,7
"Blood Centre, Swami Dayanand Hospital",North East,Delhi,A-,7
Rotary Delhi Capitol Charitable Blood Centre,North East,Delhi,A-,7
Ms Shri Shyam Charitable Blood Centre,North,Delhi,A-,5
"Blood Bank, Max Super Specialty Hospital, (A Unit Of Balaji Medical And Disgnostic Research Centre)",East,Delhi,A-,1
"Blood Centre, Jaipur Golden Hospital",West,Delhi,A-,7
"Victor Hosptial And Medical Services Ltd, Blood Centre",South Goa,Goa,A-,7
"Manipal Hospital, Blood Centre (Bcsu)",North Goa,Goa,A-,7
"Indu Voluntary Blood Centre, Anand",Anand,Gujarat,A-,7
M/s B K VOLUNTARY BLOOD CENTRE BANAS KANTHA,Banas Kantha,Gujarat,A-,6
"Bambhaniya Voluntary, Bhavnagar",Bhavnagar,Gujarat,A-,6
Life Blood Centre (Formerly Known As Rajkot Voluntary Blood Centre),Rajkot,Gujarat,A-,2
"Sardar Vallabhbhai Patel Blood Centre, Chandkheda",Ahmedabad,Gujarat,A-,5
"Blood Bank, GMERS Medical College and Hospital, Gotri",Vadodara,Gujarat,A-,3
Rakt Bharati Blood Centre,Surat,Gujarat,A-,5
Muljibhai Patel Urological Hospital,Kheda,Gujarat,A-,7
Anubhav Voluntary Blood Centre,Banas Kantha,Gujarat,A-,7
Sardar Vallabhbhai Patel Institute Of Medical Science And Research Blood Centre,Ahmedabad,Gujarat,A-,4
Indian Red Cross Society Banaskantha,Banas Kantha,Gujarat,A-,7
"A.D. Gorwala, Karamsad",Anand,Gujarat,A-,5
Lifecare Blood Centre,Morbi,Gujarat,A-,6
"Shri Jivanprakash Foundation Voluntary Blood Centre, Junagadh",Junagadh,Gujarat,A-,6
"Seventilal Kantilal, Patan",Patan,Gujarat,A-,7
"Shree Sardar Smarak Hospital Blood Centre, Bardoli",Surat,Gujarat,A-,6
Gujarat Cancer Medical College,Ahmedabad,Gujarat,A-,3
"Indian Red Cross Society, Himmatnagar",Sabar Kantha,Gujarat,A-,7
"Gayatri Voluntary Blood Centre, Deesa",Banas Kantha,Gujarat,A-,1
"Bhoomi Voluntary Blood Centre, Palanpur",Banas Kantha,Gujarat,A-,5
"General Hospital, Jamkhambalia",Devbhoomi Dwarka,Gujarat,A-,2
"Indian Red Cross Society Blood Centre, Godhara",Panch Mahals,Gujarat,A-,6
"Dhiraj Blood Centre, Vadodara",Vadodara,Gujarat,A-,5
Shree Blood Center,Morbi,Gujarat,A-,7
Surat Healthcare Foundation,Surat,Gujarat,A-,7
GOVT.MEDICAL & GENERAL HOSPITAL SIDDHPUR,Patan,Gujarat,A-,7
"Civil Hospital, Ahmedabad",Ahmedabad,Gujarat,A-,7
"U.N. Mehta Institute Of Cardiology, Ahmedabad",Ahmedabad,Gujarat,A-,3
M/s Trustees of Galbabhai Nanjibhai Patel Charitable Trust Sanchalit Blood  Centre,Banas Kantha,Gujarat,A-,6
"Indian Red Cross Society Blood Centre, Bharuch",Bharuch,Gujarat,A-,4
"Divyajyoti Charitable Voulantary Blood Centre, Una",Gir Somnath,Gujarat,A-,6
"Life Line Blood Centre,Bopal",Ahmedabad,Gujarat,A-,7
"Bhansali Trust Raktdan Kendra, Radhanpur",Patan,Gujarat,A-,3
"Nukem Blood Centre, Vapi",Valsad,Gujarat,A-,6
"Indian Red Cross Society Choryasi Taluka Branch, Surat",Surat,Gujarat,A-,5
N. M. Patel Blood Bank And Dr.A.C.Mapara Blood Component Center Bilimora,Navsari,Gujarat,A-,6
"Ved Voluntary Blood Centre, Amreli",Amreli,Gujarat,A-,6
Aroma Blood Centre Palanpur,Banas Kantha,Gujarat,A-,4
All India Institute Of Medical Sciences Rajkot,Rajkot,Gujarat,A-,6
Shraddha Seva Blood Centre Surat,Surat,Gujarat,A-,3
"Sarvoday Charitbale Trust Blood Centre, Kadi, Mehsana",Mahesana,Gujarat,A-,5
"C. U. Shah Medical College And Hospital, Surendranagar",Surendranagar,Gujarat,A-,5
"Indian Red Cross Society Blood Centre, Navsari",Navsari,Gujarat,A-,4
Blood Centre Narayana Multispeciality Hospital,Ahmedabad,Gujarat,A-,7
"Apollo Hospital International Ltd., Bhat",Gandhinagar,Gujarat,A-,7
Blood Bank General Hospital Morbi,Morbi,Gujarat,A-,7
"S.B. P.P. Co-Op. Centre Foundation Blood Centre, Killa  Pardi",Valsad,Gujarat,A-,7
Kiran Hospital Blood Centre,Surat,Gujarat,A-,5
Sushrusha Blood Centre Navasari,Navsari,Gujarat,A-,5
"Lions Club Of Baroda Blood Centre, Vadodara",Vadodara,Gujarat,A-,6
Dhwani Blood Centre,Vadodara,Gujarat,A-,3
Ayush Blood Center,Vadodara,Gujarat,A-,5
"Ahmedabad Raktdan Kendra (Voluntary), Ahmdedabad (Formerly Known As Mahagujarat Blood Bank)",Ahmedabad,Gujarat,A-,6
Unity Blood Centre Surat,Surat,Gujarat,A-,7
"Smt. Puriben  Popat Lakha Blood Centre , Vapi",Valsad,Gujarat,A-,7
DR. MOHANBHAI S PATEL BLOOD CENTER RED CROSS,Patan,Gujarat,A-,7
"Shree Swaminarayan Sankar Dham Trust Sanskar Blood Centre, Morbi",Morbi,Gujarat,A-,4
"Indian Red Cross Society Blood Centre, Kalol",Gandhinagar,Gujarat,A-,7
"Indu Blood Centre , Vadodara",Vadodara,Gujarat,A-,4
Kumarpal Gandhi Blood Centre,Bharuch,Gujarat,A-,6
"Sumandeep Vidhyapith, Chandkheda",Ahmedabad,Gujarat,A-,6
"Jivanjyot Blood Centre,  Bhuj",Kachchh,Gujarat,A-,7
Kusumben Dhirajlal Charitbale Hospital Blood Centre,Ahmedabad,Gujarat,A-,2
"Blood bank, New Civil Hospital, Surat",Surat,Gujarat,A-,7
"Valsad Raktdan Kendra, Valsad",Valsad,Gujarat,A-,2
"Blood Centre,  Shree Mahavir Health And Medical Relief Society, Surat",Surat,Gujarat,A-,7
Zydus Blood Centre,Dahod,Gujarat,A-,6
Zydus Hospitals And Healthcare Research Pvt. Ltd,Ahmedabad,Gujarat,A-,6
Reva Voluntary Blood Centre,Ahmedabad,Gujarat,A-,4
Voluntary Blood Centre SMIMER,Surat,Gujarat,A-,7
"Kiran  Blood Centre, Dahod",Dahod,Gujarat,A-,4
Blood Centre Indian Red Cross Society Vadodara District Branch,Vadodara,Gujarat,A-,5
"Shree Ram Blood Centre, Porbandar",Porbandar,Gujarat,A-,7
"Nationality Development Foundation, Rajkot",Rajkot,Gujarat,A-,7
Sanjivani Blood Bank Voluntaryand Apheresis Centre Paldi,Ahmedabad,Gujarat,A-,7
Shantabaa Medical College And General Hospital Blood Centre,Amreli,Gujarat,A-,7
Indian Red Cross Society Gandhinagar,Gandhinagar,Gujarat,A-,7
Unity Blood Centre,Bharuch,Gujarat,A-,6
Savior Voluntary Blood Centre And Research Centre,Surat,Gujarat,A-,7
"Aasha Blood Centre, Porbandar",Porbandar,Gujarat,A-,2
"Visnagar Voluntary Blood Centre, Visnagar",Mahesana,Gujarat,A-,7
Nidhi Voluntary Blood Centre,Vav-Tharad,Gujarat,A-,7
"Jamnagar Voluntary Blood Centre, Jamnagar",Jamnagar,Gujarat,A-,4
Banas Voluntary Blood Centre,Banas Kantha,Gujarat,A-,7
Life Line Blood Center,Junagadh,Gujarat,A-,7
Blood Centre Kesho Ram Narati Devi Lehs,Kurukshetra,Haryana,A-,4
Sarvodaya blood centre,Hisar,Haryana,A-,6
Divine Charitable Blood Centre (Run By Jagriti Mahila Smaj Sewi Sansthan,Faridabad,Haryana,A-,7
Gohana Blood Centre,Sonipat,Haryana,A-,7
Healing Touch Super Speciality Hospital,Ambala,Haryana,A-,5
Mm Institute Of Medical Sciences And Research,Ambala,Haryana,A-,3
Saheed Udam Singh Charitable Blood Bank (Run By Bhagwan Parshu Ram Charitable Trust-Rohtak),Yamunanagar,Haryana,A-,6
Vardaan Charitable Blood Centre,Sirsa,Haryana,A-,7
Dr Jai Dev Memorial Rotary Ambala hospital,Ambala,Haryana,A-,7
Krishna Charitable Blood Centre,Kurukshetra,Haryana,A-,7
Pushapanjali Hospital Blood Centre,Rewari,Haryana,A-,7
Jagdambe Blood Centre,Fatehabad,Haryana,A-,5
Cmc Blood Centre,Hisar,Haryana,A-,7
Data Ram Blood Centre,Mahendragarh,Haryana,A-,5
Blood Centre General Hospital Palwal,Palwal,Haryana,A-,6
Blood Centre District Civil Hospital Kaithal,Kaithal,Haryana,A-,6
National Blood Centre Yamunanagar,Yamunanagar,Haryana,A-,6
Sanjeevani Blood Centre (Ravindra Hospital),Panipat,Haryana,A-,6
World College Of Medical Sciences And Research And Hospital,Jhajjar,Haryana,A-,4
Blood Centre Fortis Hospital Manesar Gurugram,Gurgaon,Haryana,A-,5
"Shaheed Bhagat Singh Blood Centre, Jhajjar",Jhajjar,Haryana,A-,6
Artemis Hospital,Gurgaon,Haryana,A-,7
Silver Streak Blood Centre,Gurgaon,Haryana,A-,4
Fatehabad Manglam Blood Centre,Fatehabad,Haryana,A-,4
Hansi Blood Centre,Hisar,Haryana,A-,6
Kainos Blood Centre,Rohtak,Haryana,A-,4
Department Of Transfusion Medicine And Blood Centre,Jhajjar,Haryana,A-,5
Sarvesh Blood Centre,Hisar,Haryana,A-,4
"Blood Centre, Mm College Of Medical Sciences And Research, Ambala",Ambala,Haryana,A-,5
Freedom Blood Bank Bhiwani (Run By Freedom Fighter Ch. Sudhan Singh Memorial Charitable Trust),Bhiwani,Haryana,A-,7
Paras Hospitals Panchkula,Panchkula,Haryana,A-,5
"Park Hospital, (Unit Of Park Medicentre And Institution Pvt. Ltd.)",Gurgaon,Haryana,A-,7
Metro Heart Institute,Faridabad,Haryana,A-,6
Nidaan Blood Centre,Sonipat,Haryana,A-,6
Red Drop Hyderabadi Blood Centre,Panipat,Haryana,A-,3
Life Line Blood Centre A Unit Of Raj Hospital,Jind,Haryana,A-,5
Blood Centre Pk Healthcare Pvt.Ltd. Sanar International Hospitals,Gurgaon,Haryana,A-,6
Blood Centre District Civil Hospital Jind,Jind,Haryana,A-,2
Narayana Super Speciality Hospital Blood Centre,Gurgaon,Haryana,A-,7
"Shri Joginder Memorial Charitable (Sjmc) Blood Centre, Rewari",Rewari,Haryana,A-,1
Rewari Blood Centre (Shree Krishn Medical And Social Welfare Society),Rewari,Haryana,A-,6
Parth Blood Centre,Kurukshetra,Haryana,A-,6
"General Hospital, Jhajjhar",Jhajjar,Haryana,A-,7
Lions Blood Bank,Gurgaon,Haryana,A-,7
"Blood Centre, Alchemist Hospital",Panchkula,Haryana,A-,6
Blood Centre Fortis Hospital Ltd. Faridabad,Faridabad,Haryana,A-,6
Blood Centre Keshav Multispeciality Hospital Sonipat,Sonipat,Haryana,A-,5
General Hospital Blood Centre Sirsa,Sirsa,Haryana,A-,5
Sdch Mandi Dabwali,Sirsa,Haryana,A-,7
"Kalpana Chawla Medical College & Hospital, Karnal",Karnal,Haryana,A-,7
Blood Centre Fims,Sonipat,Haryana,A-,6
Blood Centre General Hospital Rohtak,Rohtak,Haryana,A-,7
Hansi Manglam Blood Centre,Hisar,Haryana,A-,3
Park Blood Centre,Panipat,Haryana,A-,7
Pandit Ram Prakash Hospital And Kidney Centre,Karnal,Haryana,A-,7
Blood Centre General Hospital Fatehabad,Fatehabad,Haryana,A-,7
"Blood Centre, M/S. Aarvy Healthcare Pvt. Ltd.",Gurgaon,Haryana,A-,2
"Regional Hospital (Rh), Reckong Peo",Kinnaur,Himachal Pradesh,A-,7
Bhagwan Buddha Charitable Blood Centre,Kangra,Himachal Pradesh,A-,4
Maharishi Markandeshwar Medical College And Hospital,Solan,Himachal Pradesh,A-,7
All India Institute Of Medical Science  Aiims Bilaspur,Bilaspur,Himachal Pradesh,A-,7
Blood Centre Kamla Nehru State Hospital For Mother And Child,Shimla,Himachal Pradesh,A-,6
Dept.Of Immunohaematology And  Blood Transfusion Dr.RPGMC Kangra At Tanda,Kangra,Himachal Pradesh,A-,4
"Regional Hospital, Kullu",Kullu,Himachal Pradesh,A-,6
Igmc,Shimla,Himachal Pradesh,A-,4
Blood Center Shri Mata Vaishno Devi Narayana Superspeciality Hospital,Reasi,Jammu And Kashmir,A-,6
All India Institute Of Medical Science Jammu,Samba,Jammu And Kashmir,A-,2
Amandeep Br Medicity Hospital Blood Centre,Srinagar,Jammu And Kashmir,A-,6
Blood Bank DH Ganderbal,Ganderbal,Jammu And Kashmir,A-,6
Lal Ded Hospital Srinagar,Srinagar,Jammu And Kashmir,A-,2
Govt District Hospital Kathua,Kathua,Jammu And Kashmir,A-,4
District Hospital Udhampur Jammu,Udhampur,Jammu And Kashmir,A-,5
District Hospital kulgam,Kulgam,Jammu And Kashmir,A-,6
M/S MMABM AH GMC Anantnag,Anantnag,Jammu And Kashmir,A-,7
Blood Bank Dist Hospital Ramban jammu,Ramban,Jammu And Kashmir,A-,7
Plus Medicare Hospitals Private Limited,Srinagar,Jammu And Kashmir,A-,6
Rinchi Trust Hospital Blood Centre,Ranchi,Jharkhand,A-,5
Tulip Hospital Blood Centre Ranchi,Ranchi,Jharkhand,A-,7
Jamshedpur Blood Centre,Purbi Singhbhum,Jharkhand,A-,6
Health Point Hospital Blood Centre,Ranchi,Jharkhand,A-,6
SADAR HOSPITAL GODDA,Godda,Jharkhand,A-,6
Devkamal Hosptal And Research Centre,Ranchi,Jharkhand,A-,7
Brahmananda Narayana Multispeciality Hospital Blood Centre Tamolia,Saraikela-Kharsawan,Jharkhand,A-,6
M.G.M. MEDICAL COLLEGE EAST SINGBHUM,Purbi Singhbhum,Jharkhand,A-,6
Sri Sathya Sai Institute Of Higher Medical Sciences,Bangalore Urban,Karnataka,A-,6
Adichunchanagiri Hospital And Research Centre,Mandya,Karnataka,A-,7
Sparsh Hospital Blood Centre,Bangalore Urban,Karnataka,A-,6
Sanjeevini Blood Bank,Koppal,Karnataka,A-,7
Sri Manyatha Blood Centre,Bangalore Urban,Karnataka,A-,6
Karnataka Medical College And Research Institute,Dharwad,Karnataka,A-,3
St. JohnS Medical College And Hospital,Bangalore Rural,Karnataka,A-,2
Channarayapatna Voluantory Blood Centre ( A Unit Of C V K L Swayam Seva Samsthe (R) ),Hassan,Karnataka,A-,7
"Rotary Red Cross Blood Centre, Shimoga",Shimoga,Karnataka,A-,4
Medical College Hospital Blood Bank,Ballari,Karnataka,A-,6
"Rotary Seva Sanghs Dr. B. C. Ajari Memorial, The Rotary Blood Bank",Belagavi,Karnataka,A-,7
Lions Blood Bank,Bangalore Urban,Karnataka,A-,7
Marathahalli Voluntary Blood Bank,Bangalore Urban,Karnataka,A-,7
Banashankari Blood Center,Bagalkot,Karnataka,A-,7
S S Blood Bank,Davanagere,Karnataka,A-,7
Jeevaraksha Voluntary Blood Centre,Bangalore Urban,Karnataka,A-,7
Apex Hospital Blood Bank,Bidar,Karnataka,A-,6
Ashajyothi Voluntary Blood Centre,Shimoga,Karnataka,A-,7
Spandana Blood Bank,Ballari,Karnataka,A-,7
K.L.E.SocietyS Hospital And Medical Research Centre,Belagavi,Karnataka,A-,5
District Hospital- Shivamoga,Shimoga,Karnataka,A-,4
"Indian Red Cross Blood Centre, Chikkaballapura",Chikkaballapura,Karnataka,A-,7
Swamy Vivekananda Charitable Blood Centre Ballari,Ballari,Karnataka,A-,7
Lions Blood Centre,Bangalore Rural,Karnataka,A-,7
Shri Veerabhadreshwar Blood Centre Mudhol,Bagalkot,Karnataka,A-,7
"Sri Chamarajendra District Hospital Blood Centre, Hassan",Hassan,Karnataka,A-,7
Rotary Ima Blood Centre,Shimoga,Karnataka,A-,7
Sha Damji Jadavji Chheda Memorial Rashtrotthana Blood Centre,Dharwad,Karnataka,A-,5
The Uttara Kannada Blood Centre And Health Services Society,Uttara Kannada,Karnataka,A-,7
Sanjeevini Blood Centre,Mandya,Karnataka,A-,6
Belgaum Blood Centre And Diagnostic Laboratory,Belagavi,Karnataka,A-,7
R.L.Jalappa Hosptial And Research Centre,Kolar,Karnataka,A-,7
Ranebennuru Blood Centre,Haveri,Karnataka,A-,5
Mediscope Blood Centre,Bangalore Urban,Karnataka,A-,5
Rotary Campco Blood Centre,Dakshina Kannada,Karnataka,A-,5
Rotary janaseva pratishtana blood centre,Raichur,Karnataka,A-,7
K.V.G Medical College Hospital Blood Centre,Dakshina Kannada,Karnataka,A-,7
District Hospital Blood Bank Tumakuru,Tumkur,Karnataka,A-,3
Transfusion Medicine Centre NIMHANS,Bangalore Urban,Karnataka,A-,6
ESIC Model Hospital Blood Bank,Bangalore Urban,Karnataka,A-,7
Bangalore Baptist Hospital Blood Centre,Bangalore Urban,Karnataka,A-,7
Shree Dhanvantari Blood Centre,Bagalkot,Karnataka,A-,7
Amulya Blood Centre Amulya Trust,Bangalore Urban,Karnataka,A-,6
St.PhilomenaS Hospital Blood Centre,Bangalore Urban,Karnataka,A-,7
"Sanjay Gandhi Institute Of Trauma And Orthopedics Blood Centre, Bangalore",Bangalore Urban,Karnataka,A-,7
Cauvery Heart  And Multispeciality Hospital Blood Centre,Mysore,Karnataka,A-,7
Manipal Hospital Whitefield Transfusion Services,Bangalore Urban,Karnataka,A-,7
BGS MCH Blood Centre,Bangalore Rural,Karnataka,A-,6
DR B.R. AMBEDKAR VOLUNTARY BLOOD CENTRE,Shimoga,Karnataka,A-,7
Rotary Tumkur Central (Belli Blood Bank),Tumkur,Karnataka,A-,7
Sapthagiri Blood Bank,Bangalore Urban,Karnataka,A-,7
The Oxford Medical College Hospital Blood Centre And Research Centre,Bangalore Urban,Karnataka,A-,7
Yelahanka Lions Blood Centre,Bangalore Urban,Karnataka,A-,6
Jeeva Sanjeevini Voluntary Blood Centre,Shimoga,Karnataka,A-,7
Health Care Global Enterprises Ltd,Bangalore Urban,Karnataka,A-,1
Sri. Shankara Cancer Hospital And Research Centre,Bangalore Urban,Karnataka,A-,5
Gleneagles BGS Hospitals Blood Centre,Bangalore Urban,Karnataka,A-,7
ESIC Medical College And Hospital Blood Centre,Kalaburagi,Karnataka,A-,6
"Indian Red Cross Society Blood Centre, Udupi",Udupi,Karnataka,A-,7
Shree Swamy Vivekanand Voluntary Blood Ceentre,Davanagere,Karnataka,A-,6
Bsk Jeevashraya Blood Centre,Bangalore Urban,Karnataka,A-,5
Sagar Hospital,Bangalore Urban,Karnataka,A-,5
Sparsh Super Speciality Hospital Blood Centre,Bangalore Urban,Karnataka,A-,7
Shree Siddeshwar Blood Bank,Vijayapura,Karnataka,A-,6
"Indian Red Cross Society Blood Centre, Koppal",Koppal,Karnataka,A-,4
Prema Bindu Blood Centre,Dharwad,Karnataka,A-,6
Kle Centenary Charitable Hospital And Mrc Blood Bank,Belagavi,Karnataka,A-,7
Dr.Chandramma Dayananda Sagar Institute Of Medical Education And Research,Ramanagara,Karnataka,A-,7
Sree Siddaganga Hospital Blood Centre,Tumkur,Karnataka,A-,6
M S District Hospital Blood Bank Karwar,Uttara Kannada,Karnataka,A-,7
Aster Hospital Whitefield Blood Centre,Bangalore Urban,Karnataka,A-,6
Kanachur Hospital And Research Centre,Dakshina Kannada,Karnataka,A-,7
M/S. Pes University Institute Of Medical Sciences And Research Blood Centre,Bangalore Urban,Karnataka,A-,7
Kerudi Blood Bank,Bagalkot,Karnataka,A-,3
Manipal Hospital Yeshwanthpur Blood Centre,Bangalore Urban,Karnataka,A-,7
Nitte University Blood Centre,Dakshina Kannada,Karnataka,A-,7
Cytecare Blood Centre,Bangalore Urban,Karnataka,A-,7
Manipal Hospital Sarjapur Blood Centre,Bangalore Urban,Karnataka,A-,6
Sri Madhusudan Sai Institute Of Medical Sciences And Research,Chikkaballapura,Karnataka,A-,2
"District Hospital Blood Centre (Brims), Bidar",Bidar,Karnataka,A-,6
